Site ID,Site Type,Picture IDs,Lat,Long,street,house number,Date/Time Collected,Person(s) collecting,Regional slope direction [Az],Regional slope magnitude [degrees from horizontal],Lithology (if exposed),"Damaged Structure [1=sidewalk, 2=road, 3=fence, 4=house-wall, 5=other, 6=Pole,7=Stair]",Damage Metrics Length [m],Damage Metrics Area [m^2],Damage Metrics Width [m],Damage Metrics Displacement [m],Damage Metrics Orientation [Az],Damage Metrics Tilt [degree from vertical],Damage Metrics Humockiness (Orientation [Az]),Damage Metrics Humockiness (wavelength [m]),Damage Metrics Humockiness (Amplitude [m]),Damage Metrics Misc,"magnitude of damage – categorical [1-low, 5 hig]","evidence of repair [1-yes, 2-no]","Material Type [1=concrete, 2=brick, 3=asphalt, 4=stone, 5=wood, 6=meta]",Absolute age [year bc],"categoric age 1=young, 2=mid, 3=old",Distance to influential Objects Tree,Distance to influential Objects Fire Hydrant,Distance to influential Objects Drain,Distance to influential Objects street corner,Distance to influential Objects Driveway,Distance to influential Objects other,Notes/comments
DDL1,DD_L,656,40.46873611,-80.01918889,,,11/19/17 10:38,AJS,170,13,,6,,,,,170,10,,,,,1,2,5,,2,,,,,0.5,,
DDL2,DD_L,658,40.46885278,-80.01889722,,,11/19/17 10:44,AJS,1,5.3,,1,,,,0.0508,1,,,,,,1,2,1,,2,,,,,,,
DDL3,DD_L,659,40.46894167,-80.01870000,,,11/19/17 10:49,AJS,80,6.4,,1,13.3,15.96,1.2,0.0635,80,,,,,,4,2,1,,2,,,,,1,,
DDL4,DD_L,660,40.46893056,-80.01849444,,,11/19/17 10:52,AJS,80,5,,6,,,,,80,9.5,,,,,1,2,6,,2,,,,,,,
DDL5,DD_L,662,40.46893056,-80.01831944,,,11/19/17 10:55,AJS,80,5.7,,4,,,,,80,2.9,,,,,2,2,1,2000,1,,,,,1,,It used to be a boulder wall
DDL6,DD_L,665,40.46910833,-80.01825833,,,11/19/17 10:59,AJS,80,3.5,,1,21,,,0.0889,80,,,,,,2,2,1,,2,,,,,,,
DDL7,DD_L,666,40.46918889,-80.01825000,,,11/19/17 11:04,AJS,80,3.5,,7,,,,,80,,,,,cracks,2,1,1,,1,,,,,1,,
DDL8,DD_L,667,40.46920278,-80.01775278,,,11/19/17 11:08,AJS,80,4.8,,4,,,,,80,9.4,,,,,1,1,1,,2,,,,,1,,
DDL9,DD_L,669,40.46936111,-80.01744167,,,11/19/17 11:10,AJS,80,4.8,,1,10.45,12.54,1.2,0.0381,80,,,,,,4,2,1,,2,,,,,1,,cars park here
DDL10,DD_L,671,40.46933056,-80.01731944,,,11/19/17 11:12,AJS,163,5.2,,6,,,,,163,11.7,,,,,3,2,6,,2,,,,0,,,Towards slope
DDL11,DD_L,672,40.46921667,-80.01703611,,,11/19/17 11:14,AJS,163,7.4,some soil,6,,,,,163,5,,,,,1,2,5,,2,,,,,,,Big Pole
DDL12,DD_L,673,40.46867778,-80.01721944,,,11/19/17 11:17,AJS,80,8,,4,,,,,80,4,,,,,1,2,1,,2,,,,,1,,
DDL13,DD_L,674,40.46834167,-80.01839444,,,11/19/17 11:22,AJS,80,1.7,,4,,,,,80,3.4,,,,,1,2,1,,1,,,,,1,,Probably soil driven
DDL14,DD_L,"675, 676",40.46823611,-80.01866111,,,11/19/17 11:24,AJS,80,1.3,,3,,,,,80,6,,,,,1,2,6,,1,,,,,1,,
DDL15,DD_L,"677, 678",40.46822222,-80.01874444,,,11/19/17 11:27,AJS,80,1.3,,7,,,,,80,,,,,cracks,3,2,1,,2,,,,,,,Aligned with previous
DDL16,DD_L,682,40.46810833,-80.01915833,,,11/19/17 11:30,AJS,260,3.6,,4,,,,,260,7.7,,,,,1,2,5,,2,,,,0,,,
DDL17,DD_L,683,40.46805556,-80.01943333,,,11/19/17 11:30,AJS,163,3.8,,4,,,,,163,34.5,,,,,4,2,1,,2,,,,,,,
DDL18,DD_L,684,40.46826667,-80.01911944,,,11/19/17 11:33,AJS,163,6.9,,4,,,,,163,6,,,,cracks,1,2,1,,2,,,,,1,,
DDL19,DD_L,685,40.46835833,-80.01924167,,,11/19/17 11:34,AJS,163,8.2,,4,,,,,163,20,,,,,3,2,1,,2,,,,,,,
DDL20,DD_L,686,40.46863056,-80.01919444,,,11/19/17 11:37,AJS,163,7.4,,4,,,,,163,3.9,,,,,1,2,1,,2,,,,,,,
DDL21,DD_L,"687, 688, 689",40.46889444,-80.01934167,,,11/19/17 11:40,AJS,141,11.5,,4,3,3.75,1.25,0.05842,141,19.5,,,,,4,2,1,,2,,,,,,,Wall ~ 20 m. 4 cracks.
DDL22,DD_L,693,40.46959167,-80.01853056,,,11/19/17 11:48,AJS,225,7.2,,4,,,,,225,10.3,,,,,1,2,1,,2,,,,,,,
DDL23,DD_L,694,40.46969167,-80.01857778,,,11/19/17 11:50,AJS,225,7.2,,1,,,,0.0635,225,,,,,,1,2,1,,2,,,,,,,
DDL24,DD_L,696,40.46964167,-80.01831944,,,11/19/17 11:51,AJS,225,7.6,,4,,,,,225,6.3,,,,,1,2,1,,2,,,,,1,,
DDL25,DD_L,698,40.47016389,-80.01801389,,,11/19/17 11:54,AJS,225,4.1,,1,1.5,,,,225,,,,,cracks,1,2,1,,2,,,,,,,
DDL26,DD_L,699,40.47018333,-80.01791389,,,11/19/17 11:55,AJS,225,4,,1,,,,,225,6.3,,,,,1,2,1,,2,,,,,,,
DDH1,DD_H,700,40.47028056,-80.01254167,,,11/19/17 12:14,AJS,269,6.2,,1,12.1,24.2,2,0.0508,269,,,,,cracks,4,2,1,,2,,,,,,,
DDH2,DD_H,702,40.47058056,-80.01251111,,,11/19/17 12:18,AJS,169,2.1,,1,6.8,8.84,1.3,,169,,,,,cracks,3,2,1,,2,,,,,,,
DDH3,DD_H,"703, 704",40.47153611,-80.01324444,,,11/19/17 12:23,AJS,169,8.9,,4,,,,,169,15.5,,,,,3,2,2,<2000,2,,,,,,,
DDH4,DD_H,705,40.47152778,-80.01318333,,,11/19/17 12:25,AJS,169,8.9,,1,,,,0.0762,169,,,,,,2,2,1,,2,,,,,,0,"on sewer, huge deep crack, slate"
DDH5,DD_H,706,40.47154167,-80.01320556,,,11/19/17 12:28,AJS,87,6.7,,1,3.5,4.9,1.4,,87,,,,,,5,2,4,,2,,,,,,,
DDH6,DD_H,707,40.47179167,-80.01332222,,,11/19/17 12:29,AJS,172,5.5,,7,,,,,172,2.8,,,,,2,2,1,,2,,,,,,,
DDH7,DD_H,708,40.47229444,-80.01332222,,,11/19/17 12:34,AJS,,,,4,,,,,0,,,,,"cracks, topple",2,2,1,,2,,,,,,,
DDH8,DD_H,709,40.47253333,-80.01367222,,,11/19/17 12:36,AJS,,,,6,,,,,0,3,,,,,1,2,5,,2,,,,,,,
DDH9,DD_H,710,40.47255278,-80.01345000,,,11/19/17 12:37,AJS,100,27.5,,4,,,,,100,40.6,,,,,4,2,5,,2,,,,,,,
DDH10,DD_H,"712, 713",40.47272222,-80.01353333,,,11/19/17 12:39,AJS,190,2.8,,7,,,,,190,1.1,,,,,1,2,1,,2,,,,,,,
DDH11,DD_H,714,40.47263333,-80.01344167,,,11/19/17 12:04,AJS,190,2.8,,7,,,,,10,1.5,,,,,1,2,1,,2,,,,,,,opposite
DDH12,DD_H,715,40.47307500,-80.01357222,,,11/19/17 12:44,AJS,190,2.8,,7,,,,,190,1.1,,,,,1,2,1,,2,,,,,,,
DDH13,DD_H,716,40.47331667,-80.01361944,,,11/19/17 12:46,AJS,,,,4,,,,,0,7.3,,,,,1,2,2,,2,,,,,1,,
DDH14,DD_H,717,40.47249722,-80.01249722,,,11/19/17 12:51,AJS,182,4,,1,6.3,14.49,2.3,,182,,,,,cracks,4,2,1,,2,,,,,,,
DDH15,DD_H,718,40.47208889,-80.01261944,,,11/19/17 12:55,AJS,80,5.4,,1,8.3,4.565,0.55,,80,,,,,cracks,3,2,4,,2,,,,,,,slate
DDH16,DD_H,719,40.47203889,-80.01263333,,,11/19/17 12:56,AJS,80,5.4,,3,,,,,80,16,,,,,3,2,6,,2,,,,,,,tilted to regional slope
DDH17,DD_H,720,40.47182778,-80.01271111,,,11/19/17 12:58,AJS,80,21,,4,,,,,80,24.8,,,,,3,2,1,,2,,,,,,,
DDH18,DD_H,721,40.47164167,-80.01266389,,,11/19/17 12:59,AJS,80,21,,1,4.25,7.65,1.8,0.0635,80,,,,,,3,2,4,,2,,,,,,,concrete and slate
DDH19,DD_H,722,40.47145833,-80.01254167,,,11/19/17 13:02,AJS,177,2.7,,4,,,,,177,1.7,,,,,2,2,1,,2,,,,,,,2.5” displacement on top
DDH20,DD_H,723,40.47051667,-80.01171944,,,11/19/17 13:07,AJS,265,2.9,,4,,,,,265,4.8,,,,,2,2,1,,2,,,,,,,
DDH21,DD_H,"725, 726",40.47023889,-80.01182500,,,11/19/17 13:08,AJS,265,2.9,,6,,,,,265,7.5,,,,,2,2,6,,2,,,,,,,trash bin locked to it with a metal chain
DDH22,DD_H,728,40.47104722,-80.01126944,,,11/19/17 13:14,AJS,258,16.6,some soil,4,,,,,258,,,,,collapsed,5,2,1,,2,,,,,,,also with some rooftop parts
DDH23,DD_H,730,40.47122500,-80.01149722,,,11/19/17 13:18,AJS,355,1.3,,7,,,,,355,3.5,,,,,3,2,1,,2,,,,,,,
DDH24,DD_H,732,40.47133333,-80.01168889,,,11/19/17 13:02,AJS,270,8.8,,6,,,,,270,2.6,,,,,1,2,5,,2,,,,,,,
DDH25,DD_H,733,40.47199167,-80.01182500,,,11/19/17 13:23,AJS,180,2.6,,7,,,,,0,4.6,,,,,4,2,1,,2,,,,,,,stairs and porch floor
DDH26,DD_H,734,40.47225278,-80.01190278,,,11/19/17 13:26,AJS,280,13.9,,4,,,,,,3.1,,,,,2,2,1,,1,,,,,,,90 degrees from regional slope
DDH27,DD_H,735,40.47208333,-80.01221389,,,11/19/17 13:29,AJS,,,,6,,,,,280,3.6,,,,,1,2,5,,2,,,,,,,
DAL_1,DA_L,DAL_1,40.28789548,-80.26602806,Beacon,6432,11/13/17 10:52,"MC, RT",109,2,N/A,1,,,,0.03,,,,,,,1,1,1,,2,,,0,,,,Displacement caused by manhole
DAL_2,DA_L,DAL_2,50.33397891,-79.70814615,Beacon,6516,11/13/17 10:59,"MC, RT",109,2,N/A,1,,,,0.04,,,,,,,1,2,1,,2,,,0,,,,Displacement caused by manhole
DAL_3,DA_L,DAL_3,40.43462267,-79.91602935,Beacon,6530,11/13/17 11:03,"MC, RT",109,2,N/A,1,1.55,2.3,0.01,,,,,,,,1,2,1,,3,,,,,0,,Cracks associated with a driveway
DAL_4,DA_L,DAL_4,40.43461825,-79.91555782,Beacon,6530,11/13/17 11:05,"MC, RT",109,2,N/A,1,3.5,1.245,0.01,,,,,,,,1,2,1,,3,,,,,,,"Thin cracks in sidewalk, older material"
DAL_5,DA_L,DAL_5,40.43454619,-79.91555898,Beacon,6550,11/13/17 11:06,"MC, RT",109,2,N/A,4,,,,,182,13,,,,,3,1,2,,3,,,,,,,"Tilted wall in front of house, cannot get close to it"
DAL_6,DA_L,DAL_6,40.43454619,-79.91555898,Beacon,6550,11/13/17 11:13,"MC, RT",109,2,N/A,1,0.9,3,0.01,,,,,,,,1,2,1,,3,,,,,,0,Thin cracks near water meter in sidewalk
DAL_7,DA_L,DAL_7,40.43454619,-79.91555898,Beacon,6550,11/13/17 11:16,"MC, RT",106,0,N/A,1,2.4,3,0.01,,,,,,,,1,1,1,,3,,,,,,,"Crack in older material of sidewalk, slight displacement"
DAL_8,DA_L,DAL_8,40.43454619,-79.91555898,Beacon,6550,11/13/17 11:18,"MC, RT",106,0,N/A,1,1.5,3,0.1,,,16,,,,,1,2,1,,3,,,,,0,,Thicker crack in sidewalk in driveway
DAL_9,DA_L,DAL_9,40.43487946,-79.91555362,Beacon,6608,11/13/17 11:20,"MC, RT",106,0,N/A,1,1.5,3,0.65,,,53,,,,,1,2,1,,2,,,,,,,"Long crack in sidewalk, change in material to younger"
DAL_10,DA_L,DAL_10,40.43945578,-80.65653841,Beacon,6608,11/13/17 11:25,"MC, RT",106,0,N/A,1,2.2,4.4,,,295,4,,,,,2,1,1,,1,,,,,0,,Long crack associated with driveway
DAL_11,DA_L,DAL_11,40.43537518,-79.91365926,Beacon,6624,11/13/17 11:30,"MC, RT",106,0,N/A,1,1.55,3,,,,,,,,,1,1,1,,2,,,,,0,,"Patch of cracks, looks like it was to repair driveway"
DAL_12,DA_L,DAL_12,40.43544724,-79.91365810,Beacon,6626,11/13/17 11:32,"MC, RT",106,0,N/A,1,2.4,4.275,,,,,,,,,1,1,1,,2,,,,,,,"Patch of cracks, looks like repair"
DAL_13,DA_L,DAL_13,40.43534960,-79.91381294,Beacon,6617,11/13/17 11:35,"MC, RT",106,0,N/A,1,,,,0.08,113,2,,,,,1,2,1,,2,0,,,,,,Displacement associated with tree
DAL_14,DA_L,DAL_14,40.43523217,-79.91377946,Mulhatton,6617,11/13/17 11:39,"MC, RT",,,N/A,1,,,,0.03,191,2,,,,,1,2,1,,1,,,,,,,Two long cracks in sidewalk
DAL_15,DA_L,DAL_15,40.43476378,-79.91378700,Mulhatton,6565,11/13/17 11:43,"MC, RT",,,N/A,1,,,,1.5,,,,,,,1,2,1,,2,,,,,,,Displacement associated with tree
DAL_16,DA_L,DAL_16,40.43456849,-79.91409668,Mulhatton,6565,11/13/17 11:46,"MC, RT",111,2,N/A,1,1.5,2.1,,,,,,,,,2,2,"1,6",,2,,,0,,,,Large area of cracks around manhole
DAL_17,DA_L,DAL_17,40.43466820,-79.91512079,Mulhatton,6535,11/13/17 11:50,"MC, RT",107,3,N/A,1,1.21,2.1,,,,,,,,,2,2,"1,6",,2,,,,,,,Large area of cracks around manhole
DAL_18,DA_L,DAL_18,40.43466820,-79.91512079,Mulhatton,6535,11/13/17 11:56,"MC, RT",107,3,N/A,2,,100,,,,,,,,,2,1,3,,2,,,0,,,,"Cracks run down the length of the street, parallel"
DAL_19,DA_L,DAL_19,40.43509415,-79.91635189,Mulhatton,6535,11/13/17 11:57,"MC, RT",107,3,N/A,1,1.6,3,,1.6,,,,,,,1,2,1,,2,,,,,,,"Long crack, nothing around it"
DAL_20,DA_L,DAL_20,40.43534603,-79.91631248,Mulhatton,1900,11/13/17 11:58,"MC, RT",210,6,N/A,1,,,,0.09,,1,,,,,1,2,1,,2,0,,,,,,Large amount of displacement near tree
DAH_1,DA_H,DAH_1,40.43049017,-79.92984187,Pocusset,5510,11/15/17 13:56,"MC, RT",89,3,N/A,1,2.07,3.375,,,,,,,,,1,2,1,,2,,,0,,0,,Cracks associated with manhole cover
DAH_2,DA_H,DAH_2,40.43012626,-79.92945860,Pocusset,5530,11/15/17 13:50,"MC, RT",142,2,N/A,1,1.5,3,,,,,,,,,1,1,1,,2,,,,,0,,"Long crack in driveway, owner said they tried to repair it"
DAH_3,DA_H,DAH_3,40.42998995,-79.92933108,Pocusset,5534,11/15/17 13:53,"MC, RT",,,N/A,1,1.2,6.96,0.02,,,,,,,,3,2,1,,3,,,,,,,"Patch of cracks in sidewalk, nothing nearby"
DAH_4,DA_H,DAH_4,40.42978938,-79.92907490,Pocusset,5544,11/15/17 13:56,"MC, RT",133,5,N/A,1,2.5,2.64,,,,,,,,,1,2,1,,2,,,,,,,Small area of cracks and damage
DAH_5,DA_H,DAH_5,40.42981586,-79.92901554,Pocusset,5550,11/15/17 13:59,"MC, RT",,,N/A,1,1.65,,,,94,3,,,,,1,2,1,,1,,,,,,,"Pavement change, small area of cracks, nothing nearby"
DAH_6,DA_H,DAH_6,40.42973359,-79.92888716,Pocusset,5550,11/15/17 14:01,"MC, RT",,,N/A,1,,,,0.05,,5,,,,,1,2,1,,2,0,,,,,,Large amount of displacement near tree
DAH_7,DA_H,DAH_7,40.42965186,-79.92881773,Pocusset,5554,11/15/17 14:02,"MC, RT",,,N/A,1,,,,0.05,135,4,,,,,1,2,1,,2,0,,,,,,Large amount of displacement near tree
DAH_8,DA_H,DAH_8,40.42950611,-79.92864321,Pocusset,5558,11/15/17 14:04,"MC, RT",130,1,N/A,1,1.3,3,0.05,,,,,,,,1,2,1,,3,,,,,,,Long crack near tree
DAH_9,DA_H,"DAH_9.1, DAH_9.2",40.42947668,-79.92838431,Pocusset,5558,11/15/17 14:06,"MC, RT",,,N/A,1,,,,,,,,,,,3,2,2,,3,,,,,,,"House wall has been tilted, could not get near it"
DAH_10,DA_H,DAH_10.1-5,40.42947668,-79.92838431,Pocusset,5590,11/15/17 14:08,"MC, RT",110,1,N/A,1,,80,0.02,,,,,,,,5,1,3,,2,,,,,,,"Very large asphalt area that is covered in cracks, pavement type change"
DAH_11,DA_H,DAH_11,40.42928310,-79.92888252,Pocusset,5590,11/15/17 14:13,"MC, RT",118,1,N/A,1,2.4,3,0.07,,,,,,,,1,2,1,,2,,,,,,,"Large carea of cracks, some thicker, nothing nearby"
DAH_12,DA_H,DAH_12,40.42942722,-79.92888024,Pocusset,5575,11/15/17 14:15,"MC, RT",,,N/A,5,,,,,,,,,,,4,1,1,,2,,,,,,,Steps of house are cracked and slightly tilted
DAH_13,DA_H,DAH_13,40.42942722,-79.92888024,Pocusset,5575,11/15/17 14:16,"MC, RT",,,N/A,1,,,,0.08,,2,,,,,1,2,1,,2,0,,,,,,Large amount of displacement near tree
DAH_14,DA_H,DAH_14,40.42946472,-79.92806620,Pocusset,5573,11/15/17 14:19,"MC, RT",,,N/A,,2.6,2.4,0.01,0.02,,,,,,,2,2,1,,2,0,,,,,,"Large amount of displacement, and cracks near tree"
DAH_15,DA_H,DAH_15,40.42948317,-79.92811306,Pocusset,5561,11/15/17 14:21,"MC, RT",123,0,N/A,1,2.8,2.25,0.01,,,,,,,,2,2,1,,2,,,,,,,"Large amount of displacement, and cracks near tree"
DAH_16,DA_H,DAH_16,40.42957412,-79.92820593,Pocusset,5559,11/15/17 14:24,"MC, RT",,,N/A,4,,,,,,2,,,,,1,1,1,,2,,,,,,,"House wall tilted, was able to get a measurement"
DAH_17,DA_H,DAH_17,40.42969345,-79.92747312,Pocusset,5549,11/15/17 14:27,"MC, RT",,,N/A,1,4.5,11.1,0.25,0.01,,,,,,,2,2,1,,2,0.75,,,,,,Thick crack withing a meter of a tree
DAH_18,DA_H,DAH_18,40.42986035,-79.92895589,Pocusset,5541,11/15/17 14:29,"MC, RT",,,N/A,1,1.5,2.25,,,,,,,,,1,1,1,,3,,,,,,,"Long crack, nothing nearby, pavement change"
DAH_19,DA_H,"DAH_19.1, DAH_19.2",40.43003357,-79.92917713,Pocusset,5537,11/15/17 14:30,"MC, RT",,,N/A,4,,,,,,3,,,,,2,2,4,,2,,,,,,,"Tilted small wall near a house, was able to get measurement"
DAH_20,DA_H,DAH_20,40.43013374,-79.92929343,Pocusset,5533,11/15/17 14:33,"MC, RT",160,3,N/A,5,2,6,,,,,,,,,2,1,1,,2,,,,,0,,"Driveway full of cracks, was able to get crack measurement at bottom"
DAH_21,DA_H,DAH_21,40.43013374,-79.92929343,Pocusset,5533,11/15/17 14:35,"MC, RT",160,3,N/A,4,,,,,,15,,,,,4,2,4,,1,,,,,,,"Tilted small wall near a house, was able to get measurement"
DAH_22,DA_H,DAH_22,40.43032487,-79.92950261,Pocusset,5526,11/15/17 14:38,"MC, RT",,,N/A,1,,0.96,,,,,,,,,2,2,1,,2,,,,,,,"Small area with a lot of cracks, nothing nearby"
